StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage+,ManipType,ManipDirection,ManipDuration,ManipOffset,ManipPostDiet,ManipConditionEffect,ManipGroups,ManipNotes,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,SharedGroup,SharedN,Sharedmean,Sharedsd,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction notes
CD001,EG223,EX277,ES0001,Chivers,2000,Environmental Biology of Fishes,reticulate sculpins,Cottus perplexus,ray-finned fish,wild,lab,unknown,unknown/mixed,Fish across the study are approximately 5 - 5.1 cm long on average,starvation,restrict,2,0,continuous,unknown,no,We immediately began to feed five randomly selected fish ad libitum with live zooplankton while depriving the other five fish of food. Two days later (day 5) we tested both the satiated and food deprived fish for a response to chemical cues of injured sculpins that was mixed with a solution of live zooplankton.,unknown,unknown,novel environment,time moving,novelenvironment_activity,time moving,no,"Each trial consisted of two 10-minute phases, a pre-stimulus and a post-stimulus phase. Between each phase there was a 30-second interval at which time 10 ml of the appropriate stimulus was injected via the plastic tubing. During both the pre- and post-stimulus phases, we recorded the time each fish spent swimming. A reduction in movement is considered an antipredator response for sculpins (e.g. Hugie et al. 1991,",5,120.6703911,52.46639947,23.46368715,,5,135.9404097,60.79439939,27.18808194,,,,,,S0001,NA,NA,NA,positive,no,Figure 2,figure,,,
CD001,EG223,EX277,ES0002,Chivers,2000,Environmental Biology of Fishes,reticulate sculpins,Cottus perplexus,ray-finned fish,wild,lab,unknown,unknown/mixed,Fish across the study are approximately 5 - 5.1 cm long on average,starvation,restrict,2,0,continuous,unknown,no,We immediately began to feed five randomly selected fish ad libitum with live zooplankton while depriving the other five fish of food. Two days later (day 5) we tested both the satiated and food deprived fish for a response to chemical cues of injured sculpins that was mixed with a solution of live zooplankton.,unknown,unknown,predator response,time moving,predation_response,time moving,no,"Each trial consisted of two 10-minute phases, a pre-stimulus and a post-stimulus phase. Between each phase there was a 30-second interval at which time 10 ml of the appropriate stimulus was injected via the plastic tubing. During both the pre- and post-stimulus phases, we recorded the time each fish spent swimming. A reduction in movement is considered an antipredator response for sculpins (e.g. Hugie et al. 1991,",5,113.594041,59.12879941,26.44320298,,5,91.99255121,54.96479945,24.58100559,,,,,,S0002,NA,NA,NA,positive,no,Figure 2,figure,,,
CD003,EG001,EX001,ES0003,Horváth,2017,PLoS ONE,European green lizard,Lacerta viridis,reptile,wild,lab,male,adult,12 days after the capture (captured as adults),quantity,restrict,23,0,continuous,unknown,no,"high (5g mealworms) v low (1g mealworms), started 12 days after capture (before which they were on an ad libitum diet), lasted 26 days and experimentation happened over the last 3. ",adult,unknown,predator response,latency to emerge,predation_response,sec,yes,"individuals handled and placed in refuge, to simulate escaping from a predator attack, latency to emerge from that shelter measured (secs)",17,130.1764706,241.3706217,58.54097459,,19,69.10526316,106.8143959,24.50490301,,,,,,S0003,NA,NA,NA,negative,yes,"Supporting Information, S3 Table",raw,,,
CD003,EG001,EX001,ES0004,Horváth,2017,PLoS ONE,European green lizard,Lacerta viridis,reptile,wild,lab,male,adult,12 days after the capture (captured as adults),quantity,restrict,24,0,continuous,unknown,no,"high (5g mealworms) v low (1g mealworms), started 12 days after capture (before which they were on an ad libitum diet), lasted 26 days and experimentation happened over the last 3. ",adult,unknown,predator response,latency to emerge,predation_response,sec,yes,"individuals handled and placed in refuge, to simulate escaping from a predator attack, latency to emerge from that shelter measured (secs)",19,308.4736842,623.2162573,142.975615,,15,79.2,101.625512,26.23959437,,,,,,S0004,NA,NA,NA,negative,yes,"Supporting Information, S3 Table",raw,,,
CD003,EG001,EX001,ES0005,Horváth,2017,PLoS ONE,European green lizard,Lacerta viridis,reptile,wild,lab,male,adult,12 days after the capture (captured as adults),quantity,restrict,25,0,continuous,unknown,no,"high (5g mealworms) v low (1g mealworms), started 12 days after capture (before which they were on an ad libitum diet), lasted 26 days and experimentation happened over the last 3. ",adult,unknown,predator response,latency to emerge,predation_response,sec,yes,"individuals handled and placed in refuge, to simulate escaping from a predator attack, latency to emerge from that shelter measured (secs)",19,150.8421053,226.1361903,51.87920004,,17,77.41176471,134.8619602,32.70882982,,,,,,S0005,NA,NA,NA,negative,yes,"Supporting Information, S3 Table",raw,,,
CD004,EG002,EX002,ES0006,KrauseT,2012,Behaviour,guppy,Poecilia reticulata,ray-finned fish,lab,lab,mixed,juvenile,2-3 week old; median size 11.10-11.20mm at start of experiment,quantity,restrict,14,0,continuous,yes (body length; growth rate),no,high (6 days per week feeding); low (3 days per week feeding),juvenile,42-49,refuge use in home environment,swimming depth,NA,cm,no,"individuals swimming depth in holding tanks, with plants for refuge in the bottom area, with high and low predator exposure x high and low rations",16,2.086956522,0.830018612,0.207504653,,16,2.014492754,0.863359499,0.215839875,,,,,,S0006,NA,NA,NA,negative,yes,Figure 4,figure,exclude_all,excluded behavioural response variable,"as the measurments were taken throughout the treatment, ManipDuration set at half total treatment time"
CD004,EG002,EX003,ES0007,KrauseT,2012,Behaviour,guppy,Poecilia reticulata,ray-finned fish,lab,lab,mixed,juvenile,2-3 week old; median size 11.10-11.20mm at start of experiment,quantity,restrict,28,0,continuous,yes (body length; growth rate),no,high (6 days per week feeding); low (3 days per week feeding),juvenile,42-49,light dark test,latency to enter dark,novelenvironment_lightdarktest,sec,no,"individuals placed in experimental tank, half shaded half light. Released into the light side, latency to enter dark and time spent in each half recorded",16,7.059936909,3.41936745,0.854841863,,16,6.03785489,3.705553507,0.926388377,,,,,,S0007,NA,NA,NA,positive,yes,Figure 5a,figure,,,
CD004,EG002,EX003,ES0008,KrauseT,2012,Behaviour,guppy,Poecilia reticulata,ray-finned fish,lab,lab,mixed,juvenile,2-3 week old; median size 11.10-11.20mm at start of experiment,quantity,restrict,28,0,continuous,yes (body length; growth rate),no,high (6 days per week feeding); low (3 days per week feeding),juvenile,42-49,light dark test,time spent in light,novelenvironment_lightdarktest,sec,no,"individuals placed in experimental tank, half shaded half light. Released into the light side, latency to enter dark and time spent in each half recorded",16,25.64564565,6.494100747,1.623525187,,16,22.75525526,7.40564733,1.851411833,,,,,,S0008,NA,NA,NA,positive,yes,Figure 5b,figure,,,
CD006,EG003,EX004,ES0009,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,0,continuous,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),juvenile,24,novel environment,latency to reach endpoint,novelenvironment_exploration,sec,no,"individual place in a swimming arena, time taken to reach to endpoint, and number of prompts required to reach the endpooint",47,40.31620553,17.61334186,2.56916996,,39,24.3083004,9.873514622,1.581027668,,,,,,S0009,NA,NA,NA,negative,no,Figure 5a,figure,,,individuals reaching the endpoint faster and requiring less prompts are considered more exploratory here
CD006,EG003,EX004,ES0010,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,10,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),juvenile,34,novel environment,latency to reach endpoint,novelenvironment_exploration,sec,no,"individual place in a swimming arena, time taken to reach to endpoint, and number of prompts required to reach the endpooint",40,17.19367589,7.499472712,1.185770751,,33,17.39130435,5.676445303,0.988142292,,,,,,S0010,NA,NA,NA,negative,no,Figure 5b,figure,,,individuals reaching the endpoint faster and requiring less prompts are considered more exploratory here
