"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"1","CD001","SearchQuery","yes","yes","yes","EG223","EX277","ES0001","Chivers","2000","Environmental Biology of Fishes","reticulate sculpins","Cottus perplexus","ray-finned fish","wild","lab","unknown","unknown/mixed","starvation","restrict",2,0,"continuous","unknown","no","unknown","novel environment","time moving","novelenvironment_activity","time moving","5","120.6703911","52.46639947","23.46368715",NA,"5","135.9404097","60.79439939","27.18808194",NA,"","",NA,"","S0001",NA,NA,NA,"positive","no","Figure 2","figure","","",2555,"non-systematic",0,7.8458075026378,0.000782778864970646
"2","CD001","SearchQuery","yes","yes","yes","EG223","EX277","ES0002","Chivers","2000","Environmental Biology of Fishes","reticulate sculpins","Cottus perplexus","ray-finned fish","wild","lab","unknown","unknown/mixed","starvation","restrict",2,0,"continuous","unknown","no","unknown","predator response","time moving","predation_response","time moving","5","113.594041","59.12879941","26.44320298",NA,"5","91.99255121","54.96479945","24.58100559",NA,"","",NA,"","S0002",NA,NA,NA,"positive","no","Figure 2","figure","","",2555,"non-systematic",0,7.8458075026378,0.000782778864970646
"3","CD003","SearchQuery","yes","yes","yes","EG001","EX001","ES0003","Horváth","2017","PLoS ONE","European green lizard","Lacerta viridis","reptile","wild","lab","male","adult","quantity","restrict",23,0,"continuous","unknown","no","adult","predator response","latency to emerge","predation_response","sec","17","130.1764706","241.3706217","58.54097459",NA,"19","69.10526316","106.8143959","24.50490301",NA,"","",NA,"","S0003",NA,NA,NA,"negative","yes","Supporting Information, S3 Table","raw","","",3650,"systematic",0,8.20248244657654,0.0063013698630137
"4","CD003","SearchQuery","yes","yes","yes","EG001","EX001","ES0004","Horváth","2017","PLoS ONE","European green lizard","Lacerta viridis","reptile","wild","lab","male","adult","quantity","restrict",24,0,"continuous","unknown","no","adult","predator response","latency to emerge","predation_response","sec","19","308.4736842","623.2162573","142.975615",NA,"15","79.2","101.625512","26.23959437",NA,"","",NA,"","S0004",NA,NA,NA,"negative","yes","Supporting Information, S3 Table","raw","","",3650,"systematic",0,8.20248244657654,0.00657534246575343
"5","CD003","SearchQuery","yes","yes","yes","EG001","EX001","ES0005","Horváth","2017","PLoS ONE","European green lizard","Lacerta viridis","reptile","wild","lab","male","adult","quantity","restrict",25,0,"continuous","unknown","no","adult","predator response","latency to emerge","predation_response","sec","19","150.8421053","226.1361903","51.87920004",NA,"17","77.41176471","134.8619602","32.70882982",NA,"","",NA,"","S0005",NA,NA,NA,"negative","yes","Supporting Information, S3 Table","raw","","",3650,"systematic",0,8.20248244657654,0.00684931506849315
"7","CD004","SearchQuery","yes","yes","yes","EG002","EX003","ES0007","KrauseT","2012","Behaviour","guppy","Poecilia reticulata","ray-finned fish","lab","lab","mixed","juvenile","quantity","restrict",28,0,"continuous","yes (body length; growth rate)","no","juvenile","light dark test","latency to enter dark","novelenvironment_lightdarktest","sec","16","7.059936909","3.41936745","0.854841863",NA,"16","6.03785489","3.705553507","0.926388377",NA,"","",NA,"","S0007",NA,NA,NA,"positive","yes","Figure 5a","figure","","",1825,"systematic",0,7.50933526601659,0.0153424657534247
"8","CD004","SearchQuery","yes","yes","yes","EG002","EX003","ES0008","KrauseT","2012","Behaviour","guppy","Poecilia reticulata","ray-finned fish","lab","lab","mixed","juvenile","quantity","restrict",28,0,"continuous","yes (body length; growth rate)","no","juvenile","light dark test","time spent in light","novelenvironment_lightdarktest","sec","16","25.64564565","6.494100747","1.623525187",NA,"16","22.75525526","7.40564733","1.851411833",NA,"","",NA,"","S0008",NA,NA,NA,"positive","yes","Figure 5b","figure","","",1825,"systematic",0,7.50933526601659,0.0153424657534247
"9","CD006","SearchQuery","partial","yes","yes","EG003","EX004","ES0009","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,0,"continuous","yes (body length; tail length; muscle height; max tail height)","no","juvenile","novel environment","latency to reach endpoint","novelenvironment_exploration","sec","47","40.31620553","17.61334186","2.56916996",NA,"39","24.3083004","9.873514622","1.581027668",NA,"","",NA,"","S0009",NA,NA,NA,"negative","no","Figure 5a","figure","","",NA,NA,NA,NA,NA
"10","CD006","SearchQuery","partial","yes","yes","EG003","EX004","ES0010","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,10,"control","yes (body length; tail length; muscle height; max tail height)","no","juvenile","novel environment","latency to reach endpoint","novelenvironment_exploration","sec","40","17.19367589","7.499472712","1.185770751",NA,"33","17.39130435","5.676445303","0.988142292",NA,"","",NA,"","S0010",NA,NA,NA,"negative","no","Figure 5b","figure","","",NA,NA,NA,NA,NA
"11","CD006","SearchQuery","partial","yes","yes","EG003","EX004","ES0011","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,0,"continuous","yes (body length; tail length; muscle height; max tail height)","no","juvenile","novel environment","prompts required to reach endpoint","novelenvironment_exploration","count","47","6.989473684","3.463909693","0.505263158",NA,"39","4.210526316","1.840630989","0.294736842",NA,"","",NA,"","S0011",NA,NA,NA,"negative","no","Figure 5a","figure","","",NA,NA,NA,NA,NA
