,StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipPostDiet,ManipConditionEffect,ManipNotes,ManipGroups,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,error,error_description,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction.notes
17,CD093,EG027,EX032,ES0169,Brodin,2006,Oecologia,spearhead bluet,Coenagrion hastulatum,insect,lab,lab,unknown,juvenile,< 1 month,< 1 month,< 1 month,< 1 month,< 1 month,continuous,yes (weight),"During the first 2 months after the start of the experiment the damselfly larvae in the high food treatments were fed brine shrimp larvae (100±20) and Daphnia (14±3) daily. The larvae in the low food treatments were fed brine shrimp larvae (100±20) and Daphnia (14±3) every second day. After the first 2 months, larvae were fed 20±3 Daphnia daily in the high food treatments and every second day in the low food treatments, until the experiment ended.",no,juvenile,F3-4 instar,novel environment,activity,novelenvironment_activity,moves per individual,yes,"individual released in open field arena, observed in 12 scan samples, ",30,5.785822021,3.601326999,0.657509345,NA,30,6.989441931,3.79273493,0.692455492,NA,,,,,yes,Figure shows different se,positive,yes,Figure 1,figure,,,
19,CD093,EG027,EX032,ES0170,Brodin,2006,Oecologia,Oecologia,Coenagrion hastulatum,insect,lab,lab,unknown,juvenile,< 1 month,< 1 month,< 1 month,< 1 month,< 1 month,continuous,yes (weight),"During the first 2 months after the start of the experiment the damselfly larvae in the high food treatments were fed brine shrimp larvae (100±20) and Daphnia (14±3) daily. The larvae in the low food treatments were fed brine shrimp larvae (100±20) and Daphnia (14±3) every second day. After the first 2 months, larvae were fed 20±3 Daphnia daily in the high food treatments and every second day in the low food treatments, until the experiment ended.",no,juvenile,F2-1 instar (F0 is adult),novel environment,activity,novelenvironment_activity,moves per individual,yes,"individual released in open field arena, observed in 12 scan samples, ",30,8.552036199,3.673671414,0.670717567,NA,30,10.11463047,2.399413935,0.438071046,NA,,,,,yes,"Figure shows different se, species-column shows journal name",positive,yes,Figure 1,figure,,,
98,CD349,EG111,EX128,ES0761,Lienart,2014,Animal Behaviour,whitetail damselfish,Pomacentrus chrysurus,ray-finned fish,wild,lab,unknown,juvenile,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,continuous,unknown,The two feeding levels were either poorly fed (300 Artemia/litre twice daily) or well fed (1000 Artemia/litre twice daily).,no,juvenile,unknown,novel environment,feeding activity,novelenvironment_feeding,bites per min,no,"individual introduced to experimental tank, measured feeding activity before stimulus, after non-predator disturbance, and after predator cue",39,64.93911105,22.51795627,3.605758765,NA,59,52.14210261,16.03159267,2.087135591,NA,,,,,yes,I can't confirm these values from the image,positive,yes,Figure 1,figure,,,
99,CD349,EG111,EX128,ES0762,Lienart,2014,Animal Behaviour,whitetail damselfish,Pomacentrus chrysurus,ray-finned fish,wild,lab,unknown,juvenile,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,continuous,unknown,The two feeding levels were either poorly fed (300 Artemia/litre twice daily) or well fed (1000 Artemia/litre twice daily).,no,juvenile,unknown,novel environment,feeding activity (following disturbance),novelenvironment_feeding,bites per min,no,"individual introduced to experimental tank, measured feeding activity before stimulus, after non-predator disturbance, and after predator cue",39,63.65629878,20.90843524,3.348029133,NA,59,51.91098398,18.00657919,2.344256935,NA,,,,,yes,I can't confirm these values from the image,positive,yes,Figure 1,figure,,,
100,CD349,EG111,EX128,ES0763,Lienart,2014,Animal Behaviour,whitetail damselfish,Pomacentrus chrysurus,ray-finned fish,wild,lab,unknown,juvenile,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,trade-offs be-tween predator avoidance behaviour and foraging in juveniles of a marine damselfish,continuous,unknown,The two feeding levels were either poorly fed (300 Artemia/litre twice daily) or well fed (1000 Artemia/litre twice daily).,no,juvenile,unknown,predator response,feeding activity (following predator cue),predation_feeding,bites per min,no,"individual introduced to experimental tank, measured feeding activity before stimulus, after non-predator disturbance, and after predator cue",39,56.55784605,24.58681292,3.937040961,NA,59,39.92011453,15.67923583,2.041262638,NA,,,,,yes,I can't confirm these values from the image,positive,yes,Figure 1,figure,,,
53,CD123,EG032B,EX038B,ES0201,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,duration of swimming behaviour,novelenvironment_activity,sec,no,"no prey present (perch environment), movement and hunting behaviour in an experimental arena",10,9.4,0.7,,NA,10,3.9,0.7,,NA,,,,,yes,"marked values are dive duration, not swimming duration",positive,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
64,CD123,EG032B,EX038B,ES0202,Cloarec,1990,Animal Behaviour,Diplonychus indicus,Diplonychus indicus,insect,mixed,lab,male,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.","The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",continuous,unknown,"three main treatments: hunger level (starved for 24 h, or well-fed subjects); the presence or absence of prey; and the presence or absence of perching sites other than the sides of the experimental container.",no,adult,"The subjects, males not carrying egg-pads, had either been reared from eggs laid in the laboratory, or collected from water bodies near the University of Madras some time previously, so they had spent at least 2 weeks under laboratory conditions before the experiments began.",novel environment,duration of dives,novelenvironment_activity,sec,no,"no prey present (perch environment), movement and hunting behaviour in an experimental arena",10,6.3,0.7,,NA,10,58.7,5.5,,NA,,,,,yes,wrong values,positive,no,Table 2,table,,,"originally combines across perch and non-perch novel environments, but as these are different types of novel environment, and not pre-treatments) the effect sizes have been extracted separately"
290,CD642,EG213,EX265,ES1714,Holley,2014,Journal of Fish Biology,zebrafish,Danio rerio,ray-finned fish,commercial,lab,unknown,adult,"unstated, but presumably adult","unstated, but presumably adult","unstated, but presumably adult","unstated, but presumably adult","unstated, but presumably adult",continuous,unknown,"Two variables were manipulated: ration richness (high and low) and feeding schedule (variable and non-variable) in a 2×2 experimental design. Fish on the non-variable diet were fed twice daily with the good diet and once every other day with the poor diet. Fish on the variable diet were fed on a random schedule. A random number generator was used to produce numbers ranging from zero to three that represented the number of feedings the fish would receive per day. For example, one day the fish on variable diets may have been fed twice, the next day fed once, the next day not at all and the next day three times, over the 3week period.",no,adult,"unstated, but presumably adult",novel environment,exploratory score,novelenvironment_exploration,count,yes,"To assess exploratory behaviour, individual fish were placed in the end section of each maze. The position of the fish was recorded after 48 h. In preliminary trials, 48 h was determined to be long enough for the boldest fish to reach the end of the maze but not so long that fish began to double back. A score of 1 indicated that the fish remained in the starting chamber. A score of 5 indicated that the fish navigated to the end (fifth) chamber of the maze. After a 24 h rest period in a separate 38 l aquarium, each fish was run through the maze a second time to assess repeatability.",four batches of 12 trials were conducted (n= 48). (potentially 2 per trial)… The overall ration level (high v. low) or the interaction between ration and predictability of delivery schedule did not have an effect on this exploratory score.,1.501265823,,,NA,four batches of 12 trials were conducted (n= 48). (potentially 2 per trial)… The overall ration level (high v. low) or the interaction between ration and predictability of delivery schedule did not have an effect on this exploratory score.,2.043037975,,,NA,,,,,yes,"To me it looks like you took data of the wrong treatment for your low condition data; in the figure there are lines for high ration and low ration, but you chose the lines for high ration and ""predictable food delivery"". I am not sure if that is right",positive,no,Figure 2,figure,exclude_all,higher quality data extracted,"raw exploratory score presented in figure, so also extracted, although the paper analysed the change in exploration score"
291,CD642,EG213,EX265,ES1713,Holley,2014,Journal of Fish Biology,zebrafish,Danio rerio,ray-finned fish,commercial,lab,unknown,adult,"unstated, but presumably adult","unstated, but presumably adult","unstated, but presumably adult","unstated, but presumably adult","unstated, but presumably adult",continuous,unknown,"Two variables were manipulated: ration richness (high and low) and feeding schedule (variable and non-variable) in a 2×2 experimental design. Fish on the non-variable diet were fed twice daily with the good diet and once every other day with the poor diet. Fish on the variable diet were fed on a random schedule. A random number generator was used to produce numbers ranging from zero to three that represented the number of feedings the fish would receive per day. For example, one day the fish on variable diets may have been fed twice, the next day fed once, the next day not at all and the next day three times, over the 3week period.",no,adult,"unstated, but presumably adult",novel environment,change in exploration score,novelenvironment_exploration,count,yes,"To assess exploratory behaviour, individual fish were placed in the end section of each maze. The position of the fish was recorded after 48 h. In preliminary trials, 48 h was determined to be long enough for the boldest fish to reach the end of the maze but not so long that fish began to double back. A score of 1 indicated that the fish remained in the starting chamber. A score of 5 indicated that the fish navigated to the end (fifth) chamber of the maze. After a 24 h rest period in a separate 38 l aquarium, each fish was run through the maze a second time to assess repeatability.",four batches of 12 trials were conducted (n= 48). (potentially 2 per trial)… The overall ration level (high v. low) or the interaction between ration and predictability of delivery schedule did not have an effect on this exploratory score.,0.167088608,,,NA,four batches of 12 trials were conducted (n= 48). (potentially 2 per trial)… The overall ration level (high v. low) or the interaction between ration and predictability of delivery schedule did not have an effect on this exploratory score.,0.374683544,,,NA,,,,,yes,"To me it looks like you took data of the wrong treatment for your low condition data; in the figure there are lines for high ration and low ration, but you chose the lines for high ration and ""predictable food delivery"". I am not sure if that is right",positive,no,Figure 2,figure,exclude_all,higher quality data extracted,"raw exploratory score presented in figure, so also extracted, although the paper analysed the change in exploration score"
89,CD273,EG078,EX089,ES0505,Horváth,2017,Behavioral Ecology and Sociobiology,Carpetan rock lizard,Iberolacerta cyreni,reptile,wild,lab,male,adult,We captured 60 adult I. cyreni males by noosing during the mating season (between May 31 and June 3),We captured 60 adult I. cyreni males by noosing during the mating season (between May 31 and June 3),We captured 60 adult I. cyreni males by noosing during the mating season (between May 31 and June 3),We captured 60 adult I. cyreni males by noosing during the mating season (between May 31 and June 3),We captured 60 adult I. cyreni males by noosing during the mating season (between May 31 and June 3),continuous,unknown,"Low food males were provided with four house crickets every second afternoon (ca. 14.00 pm [UTC + 02.00]) for 3 h. After this time window, all remaining crickets were removed from the home cages. In contrast, high food males were fed daily (with the same amount starting at the same time), uneaten crickets being removed only 5 h later.",no,adult,unknown,refuge use in home environment,time in refuge,NA,arbitrary,yes,"in home environment, behaviour/activity/refuge use recorded",30,,,,NA,30,,,,NA,F,0.002,57.54,0.9,yes,"value correct, but saved as text not as value",unknown,no,"Text, pp26",text,exclude_all,excluded behavioural response variable,ManipDuration taken as estimated average of 4 repeat trials
