"","estimate","lb","ub","Estimate","x"
"1",0.03,-0.38,0.45,"0.03 [-0.38, 0.45]",""
"2",0.09,-0.06,0.25,"0.09 [-0.06, 0.25]",""
"3",0.11,-0.05,0.28,"0.11 [-0.05, 0.28]",""
"4",0.36,0.2,0.52,"0.36 [0.2, 0.52]",""
"5",0.2,-0.11,0.52,"0.2 [-0.11, 0.52]",""
"6",0.03,-0.23,0.3,"0.03 [-0.23, 0.3]",""
"7",0.22,0.03,0.42,"0.22 [0.03, 0.42]",""
"8",0.36,0.06,0.67,"0.36 [0.06, 0.67]",""
"9",0.18,-0.04,0.41,"0.18 [-0.04, 0.41]",""
"10",0.23,-0.16,0.61,"0.23 [-0.16, 0.61]",""
"11",0.75,0.53,0.97,"0.75 [0.53, 0.97]",""
"12",0.19,0.02,0.36,"0.19 [0.02, 0.36]",""
"13",0.28,-0.04,0.61,"0.28 [-0.04, 0.61]",""
"14",0.15,-0.03,0.33,"0.15 [-0.03, 0.33]",""
"15",0.12,-0.06,0.3,"0.12 [-0.06, 0.3]",""
"16",0.34,0.06,0.61,"0.34 [0.06, 0.61]",""
"17",0.29,0.13,0.44,"0.29 [0.13, 0.44]",""
"18",0.12,-0.06,0.3,"0.12 [-0.06, 0.3]",""
"19",0.45,0.17,0.73,"0.45 [0.17, 0.73]",""
"20",0.3,0.14,0.46,"0.3 [0.14, 0.46]",""
"21",0.4,0.11,0.69,"0.4 [0.11, 0.69]",""
"22",0.01,-0.03,0.06,"0.01 [-0.03, 0.06]",""
"23",0.26,0.15,0.36,"0.26 [0.15, 0.36]",""
"24",0,-0.08,0.09,"0 [-0.08, 0.09]",""
"25",0.22,0.02,0.43,"0.22 [0.02, 0.43]",""
"26",0.15,-0.01,0.3,"0.15 [-0.01, 0.3]",""
"27",0.28,0.08,0.49,"0.28 [0.08, 0.49]",""
"28",0,-0.01,0,"0 [-0.01, 0]",""
"29",0.26,0.07,0.44,"0.26 [0.07, 0.44]",""
"30",-0.05,-0.14,0.05,"-0.05 [-0.14, 0.05]",""
"31",0.1,-0.16,0.35,"0.1 [-0.16, 0.35]",""
"32",0.26,0.07,0.45,"0.26 [0.07, 0.45]",""
"33",0.24,0.09,0.4,"0.24 [0.09, 0.4]",""
"34",0.27,-0.08,0.62,"0.27 [-0.08, 0.62]",""
"35",0.35,0.07,0.63,"0.35 [0.07, 0.63]",""
"36",0.3,0.07,0.53,"0.3 [0.07, 0.53]",""
"37",0.19,-0.04,0.41,"0.19 [-0.04, 0.41]",""
"38",0.3,-0.06,0.66,"0.3 [-0.06, 0.66]",""
"39",0.23,0.09,0.38,"0.23 [0.09, 0.38]",""
"40",0.2,-0.04,0.44,"0.2 [-0.04, 0.44]",""
"41",0.25,0.16,0.35,"0.25 [0.16, 0.35]",""
"42",-0.01,-0.07,0.05,"-0.01 [-0.07, 0.05]",""
"43",0.25,-0.02,0.52,"0.25 [-0.02, 0.52]",""
"44",0.13,-0.03,0.3,"0.13 [-0.03, 0.3]",""
"45",0.21,-0.5,0.93,"0.21 [-0.5, 0.93]",""
"46",0.32,0.16,0.48,"0.32 [0.16, 0.48]",""
