key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract
5510,"Self-medication in insects: when altered behaviors of infected insects are a defense instead of a parasite manipulation","de Roode, J.C. and Hunter, M.D.","Current Opinion in Insect Science","22145745","33","","1-6","2019","","10.1016/j.cois.2018.12.001","Studies have demonstrated that medication behaviors by insects are much more common than previously thought. Bees, ants, flies, and butterflies can use a wide range of toxic and nutritional compounds to medicate themselves or their genetic kin. Medication occurs either in response to active infection (therapy) or high infection risk (prophylaxis), and can be used to increase resistance or tolerance to infection. While much progress has been made over the last few years, there are also key areas that require in-depth investigation. These include quantifying the costs of medication, especially at the colony level of social insects, and formulating theoretical models that can predict the role of infection risk in driving micro-evolutionary and macro-evolutionary patterns of animal medication behaviors.  2018 Elsevier Inc."
5511,"Assessment of diets containing curcumin, epigallocatechin-3-gallate, docosahexaenoic acid and -lipoic acid on amyloid load and inflammation in a male transgenic mouse model of Alzheimer's disease: Are combinations more effective?","Sharman, M.J. and Gyengesi, E. and Liang, H. and Chatterjee, P. and Karl, T. and Li, Q.-X. and Wenk, M.R. and Halliwell, B. and Martins, R.N. and Mnch, G.","Neurobiology of Disease","09699961","124","","505-519","2019","","10.1016/j.nbd.2018.11.026","Increasingly, evidence is accumulating pointing at a protective role of a healthy diet at decreasing the risk of Alzheimer's disease. To test the effectiveness of nutritional components, the following food-derived compounds: curcumin alone (curcumin), curcumin combined with ()epigallocatechin-3-gallate (EGCG), docosahexaenoic acid (DHA) and -lipoic acid (ALA) (curcumin + EDA), or a combination of EGCG, DHA and ALA (EDA) were assessed in male Tg2576 transgenic mice on amyloid plaque load, amyloid levels (A40/A42, but not oligomers due to tissue limitations), microglial activation and memory using the contextual and cued fear conditioning test. The combination diet EDA, resulted in the strongest reduction of amyloid plaque load in both the cortical (p &lt;.0001) and hippocampal (p &lt;.0001) areas of the Tg2576 mouse brain, along with lower A40/A42 levels in the frontal cortex (p =.000129 and p =.000039, respectively) and A42 levels in the temporal lobe (p =.000082). A curcumin only diet was shown to lower amyloid plaque load (p =.028), but when combined with EGCG, DHA and ALA did not result in further decreases in amyloid plaque load. The EDA combination group showed the most prominent decrease in microglial activation (number of microglia around plaques: p &lt;.05 and p &lt;.0001, respectively, for the cortex and hippocampus). Analysing the hippocampal associated contextual fear conditioning revealed that both the curcumin+EDA (p &lt;.0001) and EDA groups (p =.001) spent increased time on freezing compared to the control group. In addition, the curcumin+EDA group showed a significant increase in time spent freezing compared with the curcumin only group. In the amygdala associated cued test, all mice demonstrated the ability to associate the conditioned stimulus with the unconditioned stimulus as evidenced by a significant increase in freezing behaviour in response to the presentation of the cue (p &lt;.0001). Post-hoc analysis showed that only curcumin+EDA (p &lt;.0001) and EDA groups (p &lt;.0001) developed a significant increase in freezing during the cue presentation. The results from this study show that the combination of EGCG, DHA and ALA (EDA) appeared to have the most potent anti-inflammatory and neuroprotective effect. Our results also demonstrate that interactions between nutraceutical products might result in counterproductive outcomes, highlighting the fact that manufacturers of nutraceuticals containing multiple compounds should be careful not to claim additive or synergistic effects of their combination products in vivo without having tested it in animal models and/or human clinical trials.  2018"
5512,"Generalizability of an adult-validated model for predicting increased physical activity in after-school program children: Effects of treatment formats on fitness indicators","Annesi, J.J.","Evaluation and Program Planning","01497189","73","","33-43","2019","","10.1016/j.evalprogplan.2018.11.008","Inappropriately high weight in children is a persistent problem in the United States, and physical activity is often reduced in schools due to academic demands. Effective after-school programs could positively impact both physical activity and overweight/obesity, however previous reviews and meta-analyses have indicated minimal effects. Both 4- and 3-day/week versions of a social cognitive theory-driven physical activity/nutrition after-school program were evaluated against unstructured care to assess effects in children (overall Mage = 10.00 years, SD =.80). For changes over 9 months in body mass index (BMI), effects sizes (Cohen's d) were.68,.40, and.07 in the 4-day (n = 70), 3-day (n = 70), and unstructured (n = 50) groups, respectively. Similar patterns of effects were found for changes in free-time physical activity and cardiovascular endurance. Incorporating a theory-based prediction model previously supported in teens through older adults, with and without medical disorders and health-risk factors, improvements in exercise-related self-regulation and self-efficacy, and mood, significantly predicted increased free-time physical activity (R2 =.48). Effects significantly strengthened to R2 =.62 when completion/non-completion of the recommended 300 min/week of physical activity was also accounted for. Change in BMI was inversely related to physical activity change, =-.14, p &lt;.05. The present evaluation process indicated promising effects, and indicated theory-based targets to foster future program improvements.  2018 Elsevier Ltd"
5513,"Analysis of the efficacy of an internet-based self-administered intervention (Living Better) to promote healthy habits in a population with obesity and hypertension: An exploratory randomized controlled trial","Mensorio, M.S. and Cebolla-Mart, A. and Rodilla, E. and Palomar, G. and Lisn, J.F. and Botella, C. and Fernndez-Aranda, F. and Jimenez-Murcia, S. and Baos, R.M.","International Journal of Medical Informatics","13865056","124","","13-23","2019","","10.1016/j.ijmedinf.2018.12.007","Introduction: Changes in unhealthy lifestyles are key elements in the prevention and treatment of obesity and hypertension. Internet-based programs offer great potential for the implementation of evidence-based interventions focused on promoting healthy habits. We evaluate the efficacy of an Internet-based self-administered program (Living Better) that addresses people diagnosed as being overweight or having type I obesity and hypertension. Methods: The sample was composed of a total of 106 participants (age Mean = 53; 59 males) from a public hospital in Spain, diagnosed as being overweight or having type I obesity and hypertension and randomized into two groupsthe intervention group (IG; Internet-based intervention) and the control group (CG; usual medical treatment). The intervention used cognitive-behavioral strategies and psychoeducation to promote healthy habits. Anthropometric data (i.e., Body Mass Index BMI-, waist circumference, and hip circumference) and lifestyle/psychological data (i.e., quality of life, physical activity, eating styles, motivation, mood, and self-efficacy) were assessed before and after the intervention, and at 6 and 12-month follow-ups. Results: Significant differences were observed between the IG and the CG in anthropometrical variables after intervention (i.e., BMI and waist circumference), external eating style, and anxiety and stress scores (p < 0.05). Follow-up data showed that changes were maintained in BMI, waist and hip circumference, and external eating in the IG. After receiving the Internet-based treatment, the CG also improved its clinical condition. Discussion: This study demonstrates that the Internet is a viable alternative for the delivery and dissemination of interventions focused on promoting healthy habits, and a totally self-administered intervention can produce long-term positive results.  2018 Elsevier B.V."
5514,"A human-induced landscape of fear influences foraging behavior of brown bears","Lodberg-Holm, H.K. and Gelink, H.W. and Hertel, A.G. and Swenson, J.E. and Domevscik, M. and Steyaert, S.M.J.G.","Basic and Applied Ecology","14391791","35","","18-27","2019","","10.1016/j.baae.2018.12.001","Animals adapt their foraging behavior to variations in food availability and predation risk. In Sweden, brown bears (Ursus arctos) depend on a nearly continuous intake of berries, especially bilberries (Vaccinium myrtillus) during late summer and early autumn to fatten up prior to hibernation. This overlaps with the bear hunting season that starts on 21 August. Bilberry occurrence varies across space, as does human-induced mortality risk. Here, we hypothesize that brown bears select for areas with a high probability of bilberry occurrence across a boreal forest ecosystem in Sweden (H1), and that human-induced mortality risk reduces bear selection for bilberries (H2). In addition, we hypothesized that bears that survived the hunting season avoided bilberry areas associated with high risk, whereas bears that were later killed selected more strongly for berries and less against risk prior to the hunting season (H3). To evaluate our hypotheses, we used resource selection functions to contrast bear GPS relocation data (N = 35, 20122015) and random positions within the bear home range with generalized linear mixed effect models against two focal variables: a map predicting bilberry occurrence and a map predicting human-induced mortality risk. We found that bears selected for areas with a high probability of bilberry occurrence (supporting H1), but avoided these areas if they were associated with and high risk of hunting mortality (supporting H2). The killed and surviving bears did not differ in their selection for bilberries, but they did differ in their selection against risk (partially supporting H3). Surviving bears strongly avoided high risk areas, whereas killed bears responded less to risk and selected for high-risk areas with a low probability of bilberry occurrence. This suggests that killed bears selected for other food sources than berries in high risk areas, which exposed them to human hunters. We conclude that bears respond to a landscape of fear during the berry season and that different foraging strategies may have a direct impact on individual mortality during the hunting season.  2018 Gesellschaft fr kologie"
5515,"Chronic exposure to dietary selenomethionine dysregulates the genes involved in serotonergic neurotransmission and alters social and antipredator behaviours in zebrafish (Danio rerio)","Attaran, A. and Salahinejad, A. and Crane, A.L. and Niyogi, S. and Chivers, D.P.","Environmental Pollution","02697491","246","","837-844","2019","","10.1016/j.envpol.2018.12.090","Selenium (Se) is a metalloid of potential interest from both a toxicological and nutritional perspective, having a range of safe intake. The adverse neuro-behavioural effects of Se have been investigated in both humans and fishes, but little is known about its effects on social behaviours or the serotonergic signaling pathway in the brain. In the present study, we investigated the effects of chorionic dietary exposure to Se (as selenomethionine) at different concentrations (control, 2.1, 11.6 or 31.5 g/g dry wt.) on antipredator avoidance, shoaling behaviour, and social group preferences in adult zebrafish (Danio rerio). In addition, we also measured the expression of important genes in the serotonergic pathway that influence social behaviours. After 60 days of exposure, the highest dose (31.5 g/g dry wt.) caused the highest level of baseline fear behaviour, with fish swimming lower in the water column and in tighter shoals compared to fish in the other treatments. With high levels of baseline fear, these fish did not significantly intensify fear behaviours in response to predation risk in the form of exposure to chemical alarm cues. When individual fish were given an opportunity to shoal with groups of differing sizes (3 vs. 4 individuals), fish exposed to the high dose spent less time with groups in general, and only control fish showed a significant preference for the larger group. In the zebrafish brain, we found significant upregulation in the mRNA expression of serotonin receptors (htr1aa and htr1b), a transporter (slc6a4a), and tryptophan hydroxylase-2 (tph2), whereas there was a downregulation of the monoamine oxidase (mao) gene. The results of this study suggest that disruption of serotonergic neurotransmission might have been responsible for Se-induced impairment of antipredator and social behaviour in zebrafish.  2018 Elsevier Ltd"
5516,"Current energy state interacts with the developmental environment to influence behavioural plasticity","Royaut, R. and Garrison, C. and Dalos, J. and Berdal, M.A. and Dochtermann, N.A.","Animal Behaviour","00033472","148","","39-51","2019","","10.1016/j.anbehav.2018.11.013","There is increasing evidence that among-individual differences in behaviour are, in part, generated by environmental effects. For example, diet quality can have drastically different effects on behavioural variation depending on whether it acts primarily during ontogeny (i.e. as a permanent environmental effect) or has an immediate effect on trait expression as a consequence of energy intake (i.e. temporary source of variation). Moreover, whether diet quality has a stronger effect on a trait's average expression, its variance or its covariance with other traits, remains unclear. We used a 2  2 factorial design crossing life stage (juvenile and adult) and diet quality (low- or high-energy content) to disentangle the effects of developmental and adult diets on the expression of behavioural differences. We tested 281 crickets for their activity levels, responses to predator cues and body mass. Neither developmental diet nor adulthood diet had any effect on population means or on the expression of an activityantipredator response syndrome, suggesting a genetic basis for this syndrome. We did find evidence for increases in the within-individual variance as a result of exposure to a high-quality diet. However, these increases were only found for antipredator response and body mass. This indicates that diets with higher energy content can increase the potential for behavioural plasticity in antipredator response. In addition to changes in within-individual variation in behaviour, diet quality during development also mediated the links between maturation time and exploratory behaviours. More exploratory crickets matured faster when exposed to the low-quality developmental diet, but this relation was absent in the high-quality diet treatment. Our results show that changes in developmental diet quality can mediate the relationship between life history and behavioural traits later in life.  2018 The Association for the Study of Animal Behaviour"
5517,"Foraging and homing behavior of honey bees (Apis mellifera) during a total solar eclipse","Waiker, P. and Baral, S. and Kennedy, A. and Bhatia, S. and Rueppell, A. and Le, K. and Amiri, E. and Tsuruda, J. and Rueppell, O.","Science of Nature","00281042","106","",NA,"2019","","10.1007/s00114-018-1597-2","Exceptional natural phenomena, such as those that occur during a total solar eclipse, provide unique opportunities to study animal behavior outside the naturally evolved context, which can be informative in more general terms. Circumstantial descriptions of abnormal animal behavior during solar eclipses abound, although scientific studies conducted during an eclipse are relatively rare due to inherent logistical difficulties. Here, honey bee foraging and homing behavior were studied during the total solar eclipse of August 21, 2017. In the first experiment, we studied foraging behavior of honey bees during the progression of the solar eclipse and found that the foraging activity drastically decreased but did not completely cease during the totality of the eclipse, in contrast to previous reports of complete cessation. The data indicate that the level of ambient light can largely overrule the internal circadian rhythm of foraging honey bees. Furthermore, colonies with a higher need for foraging decreased their foraging activity less than satiated colonies, consistent with the hypothesis that individual foraging decisions may be influenced by colony state, which affects cost-benefit analyses. In a second experiment, the temporal dynamics of homing of released workers and drones was compared in periods before, during, and after the solar eclipse. During the totality of the eclipse, very few bees arrived back at their hive, while homing before the total eclipse was accelerated, particularly in drones. The results suggest that, while the homing abilities of honey bees are not compromised until the sun is completely eclipsed, they may still interpret the diminishing light as an indicator of deteriorating flight conditions. Our unique study provides some insight into the control of honey bee foraging behavior when external cues and internal circadian rhythms are at odds, lent support to the notion that food deprivation can lead to riskier foraging, and indicated that homing in honey bees is possible even with very small amounts of sunlight.  2019, Springer-Verlag GmbH Germany, part of Springer Nature."
5518,"Individual- and population-level personalities in a floriphilic katydid","Tan, M.K. and Tan, H.T.W.","Ethology","01791613","125","","114-121","2019","","10.1111/eth.12834","Behaviour, including personality, informs us about the response of animals towards their changing environment. Despite the widespread occurrence of florivorous insects and the important but often underrated ecological roles that they play, the study of florivore behaviour is neglected relative to that of pollinators and other herbivores. Specifically, we do not know how different personality types can develop among florivores and enable them to persist in habitats with an ephemeral and dynamic availability of food resources. To address this knowledge gap, we investigated the following questions: whether the (a) inter-individual differences of exploration and boldness are consistent; (b) inter-population differences of exploration and boldness are consistent; (c) exploration and boldness are correlated. We collected individuals of the polyphagous floriphilic katydid, Phaneroptera brevis from four populations from wasteland sites in Singapore and performed a personality assay conducted in an insectary to investigate the exploratory and boldness levels of the individuals and populations. The major novel finding was that the floriphilic P.brevis katydids exhibit population-level personality types for boldness, but not for exploration. Some katydid individuals were consistently more exploratory and bolder than other individuals. However, contrary to our predictions, we did not find any evidence of behavioural syndromes in the katydid individuals, as the boldness level for individuals was not significantly correlated with exploration for individuals. This suggests that an individual which is more exploratory may not be equally keen to take risks and consume novel food that it encounters. Our findings also suggest that boldness and exploration are linked to ecologically important behaviours, but more studies are needed to better understand population-level personality and how and why natural selection may favour the evolution of personality in certain populations.  2018 Blackwell Verlag GmbH"
5519,"Influence of behavioral plasticity and foraging strategy on starvation tolerance of planktonic copepods","Holm, M.W. and Rodrguez-Torres, R. and Hansen, B.W. and Almeda, R.","Journal of Experimental Marine Biology and Ecology","00220981","511","","19-27","2019","","10.1016/j.jembe.2018.11.002","Starvation is considered a major cause of non-predatory mortality in zooplankton. Planktonic copepods display behavioral plasticity and small-scale behaviors associated with different foraging strategies that can affect starvation tolerance. However, little is still known about the influence of behavior on starvation tolerance in zooplankton. Here, we experimentally investigated behavioral changes and survival of planktonic copepods (adults and nauplii) with different foraging strategies under prolonged starvation. The behavioral response to starvation varied depending on the foraging strategy. The strict ambusher Oithona nana showed a low and, almost constant, motile activity (relocation jumps, <4% of the time) whereas the feeding-current feeder Temora longicornis swam for most of the time (~100%) without reducing their activity under prolonged starvation. The switching-behavior feeder Acartia tonsa move actively in the presence of food but had a low motile activity in absence of food (~12%) and decreased its motile activity during starvation (from ~12% to 3%). The observed behavioral responses to the absence of food can be broadly classified in terms of motility as: (i) sit-and-wait strategy for copepods with low motile activity under starvation (mostly relocation jumps) and (ii) searching strategy for copepods with high motility activity (swimming/cruising) under starvation. Median survival time in absence of food increased with increasing copepod body weight and it was ~1.75 fold lower in active feeders (searching strategy under starvation) than in ambush and switching-behavior feeders (sit-and-wait strategy under starvation). Thus, copepods with foraging strategies linked to a low motility (ambush feeders) and/or with behavioral plasticity to reduce motility in absence of food (switching -behavior feeders) would cope better with resource limitation/fluctuation than some active feeders. We demonstrate that behavioral plasticity and motile activity associated with foraging strategy significantly influences starvation tolerance in planktonic copepods. These results help to quantify the main trade-offs (gain vs costs) of the main zooplankton foraging strategies and emphasize that behavior is a key trait to understand the distribution of planktonic copepods in marine environments depending on trophic conditions.  2018 Elsevier B.V."
